Date,IM,Shift,Status
2026-06-07,IM6,3,SD
2026-06-07,IM6,1,SD
2026-06-07,IM6,2,SD
2026-06-07,IM7,3,SD
2026-06-07,IM7,1,SD
2026-06-07,IM7,2,SD
2026-06-07,IM8,3,SD
2026-06-07,IM8,1,SD
2026-06-07,IM8,2,SD
2026-06-07,IM9,3,SD
2026-06-07,IM9,1,SD
2026-06-07,IM9,2,SD
2026-06-08,IM1,3,ON
2026-06-08,IM1,1,ON
2026-06-08,IM1,2,ON
2026-06-08,IM10,3,ON
2026-06-08,IM10,1,ON
2026-06-08,IM10,2,ON
2026-06-08,IM11,3,ON
2026-06-08,IM11,1,ON
2026-06-08,IM11,2,ON
2026-06-08,IM12,3,ON
2026-06-08,IM12,1,ON
2026-06-08,IM12,2,ON
2026-06-08,IM14,3,ON
2026-06-08,IM14,1,ON
2026-06-08,IM14,2,ON
2026-06-08,IM15,3,ON
2026-06-08,IM15,1,ON
2026-06-08,IM15,2,ON
2026-06-08,IM16,3,ON
2026-06-08,IM16,1,ON
2026-06-08,IM16,2,ON
2026-06-08,IM17,3,SD
2026-06-08,IM17,1,SD
2026-06-08,IM17,2,SD
2026-06-08,IM18,3,SD
2026-06-08,IM18,1,SD
2026-06-08,IM18,2,SD
2026-06-08,IM19,3,SD
2026-06-08,IM19,1,SD
2026-06-08,IM19,2,SD
2026-06-08,IM2,3,SD
2026-06-08,IM2,1,ON
2026-06-08,IM2,2,ON
2026-06-08,IM3,3,ON
2026-06-08,IM3,1,ON
2026-06-08,IM3,2,ON
2026-06-08,IM4,3,ON
2026-06-08,IM4,1,ON
2026-06-08,IM4,2,ON
2026-06-08,IM5,3,SD
2026-06-08,IM5,1,SD
2026-06-08,IM5,2,SD
2026-06-08,IM6,3,ON
2026-06-08,IM6,1,ON
2026-06-08,IM6,2,ON
2026-06-08,IM7,3,ON
2026-06-08,IM7,1,ON
2026-06-08,IM7,2,ON
2026-06-08,IM8,3,SD
2026-06-08,IM8,1,SD
2026-06-08,IM8,2,SD
2026-06-08,IM9,3,ON
2026-06-08,IM9,1,ON
2026-06-08,IM9,2,ON
2026-06-09,IM1,3,ON
2026-06-09,IM1,1,ON
2026-06-09,IM1,2,ON
2026-06-09,IM10,3,ON
2026-06-09,IM10,1,ON
2026-06-09,IM10,2,ON
2026-06-09,IM11,3,ON
2026-06-09,IM11,1,ON
2026-06-09,IM11,2,ON
2026-06-09,IM12,3,ON
2026-06-09,IM12,1,ON
2026-06-09,IM12,2,ON
2026-06-09,IM14,3,ON
2026-06-09,IM14,1,ON
2026-06-09,IM14,2,ON
2026-06-09,IM15,3,ON
2026-06-09,IM15,1,ON
2026-06-09,IM15,2,ON
2026-06-09,IM16,3,ON
2026-06-09,IM16,1,ON
2026-06-09,IM16,2,ON
2026-06-09,IM17,3,SD
2026-06-09,IM17,1,SD
2026-06-09,IM17,2,SD
2026-06-09,IM18,3,SD
2026-06-09,IM18,1,SD
2026-06-09,IM18,2,SD
2026-06-09,IM19,3,ON
2026-06-09,IM19,1,ON
2026-06-09,IM19,2,ON
2026-06-09,IM2,3,SD
2026-06-09,IM2,1,SD
2026-06-09,IM2,2,SD
2026-06-09,IM3,3,ON
2026-06-09,IM3,1,ON
2026-06-09,IM3,2,ON
2026-06-09,IM4,3,ON
2026-06-09,IM4,1,ON
2026-06-09,IM4,2,ON
2026-06-09,IM5,3,SD
2026-06-09,IM5,1,SD
2026-06-09,IM5,2,SD
2026-06-09,IM6,3,ON
2026-06-09,IM6,1,ON
2026-06-09,IM6,2,ON
2026-06-09,IM7,3,ON
2026-06-09,IM7,1,ON
2026-06-09,IM7,2,ON
2026-06-09,IM8,3,SD
2026-06-09,IM8,1,SD
2026-06-09,IM8,2,SD
2026-06-09,IM9,3,ON
2026-06-09,IM9,1,ON
2026-06-09,IM9,2,ON
2026-06-10,IM1,3,ON
2026-06-10,IM1,1,ON
2026-06-10,IM1,2,ON
2026-06-10,IM10,3,ON
2026-06-10,IM10,1,ON
2026-06-10,IM10,2,ON
2026-06-10,IM11,3,ON
2026-06-10,IM11,1,ON
2026-06-10,IM11,2,ON
